algorithm,dataset_size_bytes,max_cached_bytes
grep,101968,112435
grep,203736,112435
grep,305536,112435
grep,407336,112435
grep,509104,112435
groupbycount,151737,196607
groupbycount,303586,233266
groupbycount,452002,252108
groupbycount,609536,194354
groupbycount,754534,196504
kmeans,2197283,1482470
kmeans,4396703,2871075
kmeans,6595594,4134991
kmeans,8797377,5617457
kmeans,10999868,6903834
linearregression,2485175,1394481
linearregression,4964602,2694349
linearregression,7442836,3994522
linearregression,9935317,5294594
linearregression,12410072,6594667
logisticregression,2271745,3022991
logisticregression,4540523,5533839
logisticregression,6811429,8099582
logisticregression,9077655,10630287
logisticregression,11351136,13266682
selectwhereorderby,18349,210840
selectwhereorderby,37450,212069
selectwhereorderby,56451,212888
selectwhereorderby,75698,212684
selectwhereorderby,94776,256101
sort,101968,151244
sort,203736,151244
sort,305536,151244
sort,407336,151244
sort,509104,151244
wordcount,5296,214939
wordcount,10594,251189
wordcount,15776,251495
wordcount,21277,251292
wordcount,26158,251189
join,40103,275661
join,80187,318465
join,120167,325223
join,160447,332493
join,200503,314266
