algorithm,dataset_size_bytes,max_allocated_memory_bytes
grep,1010000000,730378272
grep,2020000000,930467545
grep,3030000000,1898790780
grep,4040000000,2808008933
grep,5050000000,2928303669
groupbycount,1504086574,5443461054
groupbycount,3008173148,5815426613
groupbycount,4512259722,7427244163
groupbycount,6016346296,7351938580
groupbycount,7520432870,9602064187
join,461189922,6625526022
join,922379844,7376613670
join,1383569766,12807335575
join,1844759688,13003411947
join,2305949610,11873623736
kmeans,2185655449,11332599414
kmeans,4371310898,12151083237
kmeans,6556966347,13437095641
kmeans,8742621796,15547748057
kmeans,10928277245,16169590325
linearregression,2462810506,10356625768
linearregression,4925621013,11941830459
linearregression,7388431519,13330005622
linearregression,9851242026,14709514305
linearregression,12314052532,16036560633
logisticregression,2252242058,11632513122
logisticregression,4504484116,14179921559
logisticregression,6756726174,17229541277
logisticregression,9008968232,19111956447
logisticregression,11261210290,22057419014
selectwhereorderby,248134593,4809408118
selectwhereorderby,496269187,6897053728
selectwhereorderby,744403781,8443727446
selectwhereorderby,992538374,7938666135
selectwhereorderby,1240672968,9189305876
sort,1010000000,4519173816
sort,2020000000,4881387618
sort,3030000000,6881808482
sort,4040000000,7412572487
sort,5050000000,5724975398
wordcount,51772832,3061427732
wordcount,103545664,3884163530
wordcount,155318497,3957566996
wordcount,207091329,3923923435
wordcount,258864161,4366216986
