approach,algorithm,correct_classification,normalized_dollar_cost,normalized_runtime
Flora,grep,True,1.0,1.8689293449015134
Flora,grep,False,1.4007476160088883,1.9328371820984294
Flora,logisticregression,True,1.0223268784929496,1.1827932576686555
Flora,logisticregression,False,2.3180444640769897,3.6472274035657595
Flora,wordcount,True,1.0,1.8270166337513782
Flora,wordcount,False,1.2763856599323384,1.7224063937235
Flora,join,True,1.1444379432305136,1.3539254899358701
Flora,join,False,1.3464623944285186,2.1747510485394255
Flora,selectwhereorderby,True,1.0,1.8811612358686598
Flora,selectwhereorderby,False,1.3205727317723053,1.8336824939901286
Flora,groupbycount,True,1.0012960293844149,1.9615715905638957
Flora,groupbycount,False,1.4341002756915189,2.073757756392328
Flora,linearregression,True,1.0994785762173982,1.448639104608081
Flora,linearregression,False,1.0520408532613001,1.8748720888703465
Flora,sort,True,1.0407528040436849,1.2098076314124797
Flora,sort,False,3.616405808618246,5.7129603165915785
Flora,kmeans,True,1.1589108333598375,1.4687417431935788
Flora,kmeans,False,4.445578557054019,7.541157001723941
